Epoch	Train_Loss	Val_Loss	Train_Acc	Val_Acc
1	2.0967	2.0849	0.26	0.23
2	1.5778	2.2165	0.44	0.31
3	1.3937	1.6258	0.51	0.49
4	1.2497	1.5191	0.56	0.50
5	1.1602	1.6288	0.60	0.47
6	1.0989	1.7533	0.62	0.50
7	1.0532	2.2289	0.64	0.35
8	0.9520	1.7456	0.67	0.46
9	0.9352	1.8026	0.68	0.44
10	0.8875	1.8645	0.69	0.46
11	0.8599	1.6401	0.70	0.54
12	0.7993	1.6502	0.72	0.52
13	0.7868	2.0919	0.73	0.45
14	0.7747	1.5182	0.73	0.51
15	0.7112	2.1458	0.75	0.42
16	0.7000	1.6913	0.76	0.50
17	0.6916	2.3457	0.76	0.39
18	0.6452	2.1302	0.77	0.45
19	0.6365	1.2131	0.78	0.60
20	0.5844	1.6571	0.80	0.52
