Epoch	Train_Loss	Val_Loss	Train_Acc	Val_Acc
1	1.9475	2.3437	0.32	0.19
2	1.4598	1.7566	0.49	0.45
3	1.2916	1.2821	0.55	0.55
4	1.2239	1.9956	0.58	0.39
5	1.1431	2.1675	0.61	0.40
6	1.0520	1.9295	0.64	0.44
7	0.9937	3.6784	0.65	0.26
8	0.9582	1.8291	0.66	0.47
9	0.8867	1.9634	0.70	0.50
10	0.8625	2.0174	0.70	0.45
11	0.8290	2.1012	0.72	0.39
12	0.8060	1.3385	0.72	0.54
13	0.7446	1.9606	0.75	0.46
14	0.7177	1.9721	0.75	0.45
15	0.7162	1.8508	0.75	0.48
16	0.6826	1.6524	0.76	0.58
17	0.6509	2.0163	0.77	0.47
18	0.6377	1.7049	0.78	0.51
19	0.6048	1.7362	0.79	0.53
20	0.5913	1.4620	0.79	0.51
